NP1,NP2,NP3,NP4,NP5,NP6.1,NP6.2
,Bacteroides thetaiotaomicron,RESISTANT Fusobacterium mortiferum,Propionibacterium acnes,,Escherichia coli,RESISTANT Morganella morganii
,RESISTANT Morganella morganii,Staphylococcus aureus subsp. aureus RN4220,Bacillus thuringiensis,,RESISTANT Enterococcus faecium,Helicobacter pylori
,Pseudomonas tolaasii,Staphylococcus sp.,Staphylococcus epidermidis,,Shigella sonnei,Proteus
,RESISTANT Micrococcus luteus,Salmonella enteritidis,Escherichia coli,,Mycobacterium terrae,RESISTANT Mycobacterium bovis
,RESISTANT Prevotella intermedia,RESISTANT Staphylococcus haemolyticus,RESISTANT Peptostreptococcus anaerobius,,Sarcina,
,Staphylococcus capitis,Fusobacterium nucleatum,Vibrio fluvialis,,RESISTANT Aeromonas punctata,
,Streptococcus salivarius,RESISTANT Stenotrophomonas maltophilia,Lactobacillus casei,,Corynebacterium xerosis,
,Corynebacterium diphtheriae,RESISTANT Staphylococcus aureus,Escherichia coli DH5[alpha],,,
,Neisseria gonorrhoeae,Mycobacterium avium,RESISTANT Shigella sonnei,,,
,RESISTANT Staphylococcus haemolyticus,Actinomyces naeslundii,RESISTANT Pseudomonas aeruginosa PAO1,,,
,Staphylococcus haemolyticus,Clostridium clostridioforme,Streptococcus sp. group B,,,
,Klebsiella oxytoca,RESISTANT Staphylococcus epidermidis ATCC 12228,RESISTANT Bacteroides vulgatus,,,
,Micrococcus,Mycobacterium phlei,Stenotrophomonas maltophilia,,,
,Listeria monocytogenes ATCC 19115,Enterococcus sp.,Chlamydophila pneumoniae,,,
,Salmonella enteritidis,RESISTANT Bacteroides thetaiotaomicron,RESISTANT Prevotella bivia,,,
,,Staphylococcus warneri,Nocardia brasiliensis,,,
,,RESISTANT Pseudomonas sp.,RESISTANT Micrococcus luteus,,,
,,RESISTANT Haemophilus parainfluenzae,Micrococcus luteus,,,
,,RESISTANT Citrobacter koseri,Bacillus,,,
,,Lactobacillus casei,Fusobacterium necrophorum,,,
,,Prevotella buccae,Bacteroides thetaiotaomicron,,,
,,RESISTANT Chromobacterium violaceum,Staphylococcus capitis,,,
,,Micrococcus luteus,RESISTANT Clostridium difficile,,,
,,Peptostreptococcus sp.,Staphylococcus sp.,,,
,,Bacillus,Listonella anguillarum,,,
,,Actinomyces israelii,RESISTANT Neisseria gonorrhoeae,,,
,,RESISTANT Micrococcus luteus,,,,
,,RESISTANT Morganella morganii,,,,
,,Staphylococcus capitis,,,,
,,Streptococcus,,,,
,,Corynebacterium diphtheriae,,,,
,,Streptococcus viridans,,,,
,,Neisseria gonorrhoeae,,,,
,,Streptococcus salivarius,,,,
,,Listonella anguillarum,,,,
,,RESISTANT Mycobacterium avium,,,,
,,Brachyspira hyodysenteriae,,,,
,,Prevotella denticola,,,,
,,Escherichia coli ATCC 8739,,,,
,,Enterococcus faecium,,,,
,,Porphyromonas gingivalis,,,,
,,RESISTANT Enterococcus,,,,
,,RESISTANT Streptococcus sp. group B,,,,
,,Streptococcus agalactiae,,,,
,,RESISTANT Staphylococcus,,,,
,,Micrococcus,,,,
,,Listeria monocytogenes ATCC 19115,,,,
,,Mycobacterium bovis BCG,,,,
,,Bacillus subtilis,,,,
