,group1,group2,meandiff,p-adj,lower,upper,reject
201,GBC,LinearSVC,-3.4514,0.0292,-6.7594,-0.1434,True
202,GBC,NuSVC,-1.7196,0.9759,-5.0276,1.5884,False
203,GBC,PA,-0.4149,1.0,-3.7229,2.893,False
204,GBC,Perceptron,-2.2866,0.6711,-5.5946,1.0214,False
205,GBC,QDA,17.3846,0.0,14.0766,20.6926,True
206,GBC,RF,0.2901,1.0,-3.0179,3.5981,False
207,GBC,Ridge,-1.6747,0.9827,-4.9827,1.6333,False
208,GBC,SGD,-0.793,1.0,-4.101,2.515,False
209,GBC,SVC,0.56,1.0,-2.748,3.868,False
210,GBC,Stacking_ETs,-1.5116,0.9958,-4.8196,1.7963,False
211,GBC,Stacking_LR,-1.7644,0.9671,-5.0724,1.5436,False
212,GBC,Stacking_NuSCV,-2.2391,0.7117,-5.5471,1.0689,False
213,GBC,Stacking_RF,-3.0268,0.1287,-6.3348,0.2812,False
214,GBC,Stacking_Ridge,-2.2374,0.7132,-5.5454,1.0706,False
215,GBC,XGB,-2.0905,0.8247,-5.3985,1.2174,False
216,GNB,GP,-5.9749,0.0,-9.2829,-2.667,True
217,GNB,KNN,-3.4563,0.0287,-6.7643,-0.1483,True
218,GNB,LDA,-10.4022,0.0,-13.7102,-7.0942,True
219,GNB,LR,-10.2677,0.0,-13.5757,-6.9597,True
220,GNB,LinearSVC,-10.9376,0.0,-14.2456,-7.6296,True
221,GNB,NuSVC,-9.2057,0.0,-12.5137,-5.8977,True
222,GNB,PA,-7.9011,0.0,-11.2091,-4.5931,True
223,GNB,Perceptron,-9.7727,0.0,-13.0807,-6.4648,True
224,GNB,QDA,9.8985,0.0,6.5905,13.2065,True
225,GNB,RF,-7.196,0.0,-10.504,-3.8881,True
226,GNB,Ridge,-9.1609,0.0,-12.4689,-5.8529,True
227,GNB,SGD,-8.2791,0.0,-11.5871,-4.9711,True
228,GNB,SVC,-6.9262,0.0,-10.2341,-3.6182,True
229,GNB,Stacking_ETs,-8.9978,0.0,-12.3058,-5.6898,True
230,GNB,Stacking_LR,-9.2505,0.0,-12.5585,-5.9426,True
231,GNB,Stacking_NuSCV,-9.7253,0.0,-13.0333,-6.4173,True
232,GNB,Stacking_RF,-10.513,0.0,-13.821,-7.205,True
233,GNB,Stacking_Ridge,-9.7235,0.0,-13.0315,-6.4155,True
234,GNB,XGB,-9.5767,0.0,-12.8847,-6.2687,True
235,GP,KNN,2.5187,0.4628,-0.7893,5.8267,False
236,GP,LDA,-4.4273,0.0004,-7.7352,-1.1193,True
237,GP,LR,-4.2927,0.0007,-7.6007,-0.9848,True
238,GP,LinearSVC,-4.9626,0.0,-8.2706,-1.6546,True
239,GP,NuSVC,-3.2308,0.0658,-6.5388,0.0772,False
240,GP,PA,-1.9262,0.9154,-5.2341,1.3818,False
241,GP,Perceptron,-3.7978,0.007,-7.1058,-0.4898,True
242,GP,QDA,15.8734,0.0,12.5654,19.1814,True
243,GP,RF,-1.2211,0.9999,-4.5291,2.0869,False
244,GP,Ridge,-3.1859,0.0767,-6.4939,0.1221,False
245,GP,SGD,-2.3042,0.6557,-5.6122,1.0038,False
246,GP,SVC,-0.9512,1.0,-4.2592,2.3568,False
247,GP,Stacking_ETs,-3.0229,0.1302,-6.3308,0.2851,False
248,GP,Stacking_LR,-3.2756,0.0562,-6.5836,0.0324,False
249,GP,Stacking_NuSCV,-3.7503,0.0086,-7.0583,-0.4423,True
250,GP,Stacking_RF,-4.538,0.0002,-7.846,-1.23,True
251,GP,Stacking_Ridge,-3.7486,0.0087,-7.0566,-0.4406,True
252,GP,XGB,-3.6018,0.0161,-6.9097,-0.2938,True
253,KNN,LDA,-6.9459,0.0,-10.2539,-3.6379,True
254,KNN,LR,-6.8114,0.0,-10.1194,-3.5034,True
255,KNN,LinearSVC,-7.4813,0.0,-10.7893,-4.1733,True
256,KNN,NuSVC,-5.7495,0.0,-9.0574,-2.4415,True
257,KNN,PA,-4.4448,0.0003,-7.7528,-1.1368,True
258,KNN,Perceptron,-6.3165,0.0,-9.6245,-3.0085,True
259,KNN,QDA,13.3547,0.0,10.0467,16.6627,True
260,KNN,RF,-3.7398,0.009,-7.0478,-0.4318,True
261,KNN,Ridge,-5.7046,0.0,-9.0126,-2.3966,True
262,KNN,SGD,-4.8229,0.0,-8.1308,-1.5149,True
263,KNN,SVC,-3.4699,0.0272,-6.7779,-0.1619,True
264,KNN,Stacking_ETs,-5.5415,0.0,-8.8495,-2.2335,True
265,KNN,Stacking_LR,-5.7943,0.0,-9.1023,-2.4863,True
266,KNN,Stacking_NuSCV,-6.269,0.0,-9.577,-2.961,True
267,KNN,Stacking_RF,-7.0567,0.0,-10.3647,-3.7487,True
268,KNN,Stacking_Ridge,-6.2673,0.0,-9.5752,-2.9593,True
269,KNN,XGB,-6.1204,0.0,-9.4284,-2.8124,True
270,LDA,LR,0.1345,1.0,-3.1735,3.4425,False
271,LDA,LinearSVC,-0.5354,1.0,-3.8434,2.7726,False
272,LDA,NuSVC,1.1965,0.9999,-2.1115,4.5045,False
273,LDA,PA,2.5011,0.4783,-0.8069,5.8091,False
274,LDA,Perceptron,0.6295,1.0,-2.6785,3.9374,False
275,LDA,QDA,20.3007,0.0,16.9927,23.6086,True
276,LDA,RF,3.2062,0.0716,-0.1018,6.5141,False
277,LDA,Ridge,1.2413,0.9998,-2.0667,4.5493,False
278,LDA,SGD,2.1231,0.8022,-1.1849,5.4311,False
279,LDA,SVC,3.476,0.0266,0.1681,6.784,True
280,LDA,Stacking_ETs,1.4044,0.9987,-1.9036,4.7124,False
281,LDA,Stacking_LR,1.1516,1.0,-2.1563,4.4596,False
282,LDA,Stacking_NuSCV,0.6769,1.0,-2.6311,3.9849,False
283,LDA,Stacking_RF,-0.1108,1.0,-3.4188,3.1972,False
284,LDA,Stacking_Ridge,0.6787,1.0,-2.6293,3.9867,False
285,LDA,XGB,0.8255,1.0,-2.4825,4.1335,False
286,LR,LinearSVC,-0.6699,1.0,-3.9779,2.6381,False
287,LR,NuSVC,1.062,1.0,-2.246,4.37,False
