,group1,group2,meandiff,p-adj,lower,upper,reject
135,DT,KNN,-1.9841,0.9995,-6.9667,2.9984,False
136,DT,LDA,-0.2232,1.0,-5.2057,4.7593,False
137,DT,LR,-1.9593,0.9996,-6.9419,3.0232,False
138,DT,LinearSVC,1.0665,1.0,-3.9161,6.049,False
139,DT,NuSVC,-1.9593,0.9996,-6.9419,3.0232,False
140,DT,PA,-3.2242,0.7895,-8.2067,1.7583,False
141,DT,Perceptron,-3.4474,0.6692,-8.43,1.5351,False
142,DT,QDA,21.3046,0.0,16.322,26.2871,True
143,DT,RF,-0.8929,1.0,-5.8754,4.0897,False
144,DT,Ridge,-1.9593,0.9996,-6.9419,3.0232,False
145,DT,SGD,-3.2242,0.7895,-8.2067,1.7583,False
146,DT,SVC,0.372,1.0,-4.6105,5.3546,False
147,DT,Stacking_ETs,-2.381,0.992,-7.3635,2.6016,False
148,DT,Stacking_LR,-3.0506,0.8654,-8.0331,1.9319,False
149,DT,Stacking_NuSCV,0.1984,1.0,-4.7841,5.1809,False
150,DT,Stacking_RF,-1.0913,1.0,-6.0738,3.8913,False
151,DT,Stacking_Ridge,-0.8681,1.0,-5.8506,4.1145,False
152,DT,XGB,-1.9593,0.9996,-6.9419,3.0232,False
153,ET,ETs,0.1984,1.0,-4.7841,5.1809,False
154,ET,GBC,-1.7857,0.9999,-6.7682,3.1968,False
155,ET,GNB,-2.1825,0.9978,-7.1651,2.8,False
156,ET,GP,-1.9593,0.9996,-6.9419,3.0232,False
157,ET,KNN,-1.9841,0.9995,-6.9667,2.9984,False
158,ET,LDA,-0.2232,1.0,-5.2057,4.7593,False
159,ET,LR,-1.9593,0.9996,-6.9419,3.0232,False
160,ET,LinearSVC,1.0665,1.0,-3.9161,6.049,False
161,ET,NuSVC,-1.9593,0.9996,-6.9419,3.0232,False
162,ET,PA,-3.2242,0.7895,-8.2067,1.7583,False
163,ET,Perceptron,-3.4474,0.6692,-8.43,1.5351,False
164,ET,QDA,21.3046,0.0,16.322,26.2871,True
165,ET,RF,-0.8929,1.0,-5.8754,4.0897,False
166,ET,Ridge,-1.9593,0.9996,-6.9419,3.0232,False
167,ET,SGD,-3.2242,0.7895,-8.2067,1.7583,False
168,ET,SVC,0.372,1.0,-4.6105,5.3546,False
169,ET,Stacking_ETs,-2.381,0.992,-7.3635,2.6016,False
170,ET,Stacking_LR,-3.0506,0.8654,-8.0331,1.9319,False
171,ET,Stacking_NuSCV,0.1984,1.0,-4.7841,5.1809,False
172,ET,Stacking_RF,-1.0913,1.0,-6.0738,3.8913,False
173,ET,Stacking_Ridge,-0.8681,1.0,-5.8506,4.1145,False
174,ET,XGB,-1.9593,0.9996,-6.9419,3.0232,False
175,ETs,GBC,-1.9841,0.9995,-6.9667,2.9984,False
176,ETs,GNB,-2.381,0.992,-7.3635,2.6016,False
177,ETs,GP,-2.1577,0.9982,-7.1403,2.8248,False
178,ETs,KNN,-2.1825,0.9978,-7.1651,2.8,False
179,ETs,LDA,-0.4216,1.0,-5.4042,4.5609,False
180,ETs,LR,-2.1577,0.9982,-7.1403,2.8248,False
181,ETs,LinearSVC,0.8681,1.0,-4.1145,5.8506,False
182,ETs,NuSVC,-2.1577,0.9982,-7.1403,2.8248,False
183,ETs,PA,-3.4226,0.6835,-8.4052,1.5599,False
184,ETs,Perceptron,-3.6458,0.5509,-8.6284,1.3367,False
185,ETs,QDA,21.1062,0.0,16.1236,26.0887,True
186,ETs,RF,-1.0913,1.0,-6.0738,3.8913,False
187,ETs,Ridge,-2.1577,0.9982,-7.1403,2.8248,False
188,ETs,SGD,-3.4226,0.6835,-8.4052,1.5599,False
189,ETs,SVC,0.1736,1.0,-4.8089,5.1561,False
190,ETs,Stacking_ETs,-2.5794,0.977,-7.5619,2.4032,False
191,ETs,Stacking_LR,-3.249,0.7772,-8.2315,1.7335,False
192,ETs,Stacking_NuSCV,0.0,1.0,-4.9825,4.9825,False
193,ETs,Stacking_RF,-1.2897,1.0,-6.2722,3.6929,False
194,ETs,Stacking_Ridge,-1.0665,1.0,-6.049,3.9161,False
195,ETs,XGB,-2.1577,0.9982,-7.1403,2.8248,False
196,GBC,GNB,-0.3968,1.0,-5.3794,4.5857,False
197,GBC,GP,-0.1736,1.0,-5.1561,4.8089,False
198,GBC,KNN,-0.1984,1.0,-5.1809,4.7841,False
199,GBC,LDA,1.5625,1.0,-3.42,6.545,False
200,GBC,LR,-0.1736,1.0,-5.1561,4.8089,False
201,GBC,LinearSVC,2.8522,0.9287,-2.1304,7.8347,False
202,GBC,NuSVC,-0.1736,1.0,-5.1561,4.8089,False
203,GBC,PA,-1.4385,1.0,-6.421,3.544,False
204,GBC,Perceptron,-1.6617,1.0,-6.6442,3.3208,False
205,GBC,QDA,23.0903,0.0,18.1077,28.0728,True
206,GBC,RF,0.8929,1.0,-4.0897,5.8754,False
207,GBC,Ridge,-0.1736,1.0,-5.1561,4.8089,False
208,GBC,SGD,-1.4385,1.0,-6.421,3.544,False
209,GBC,SVC,2.1577,0.9982,-2.8248,7.1403,False
210,GBC,Stacking_ETs,-0.5952,1.0,-5.5778,4.3873,False
211,GBC,Stacking_LR,-1.2649,1.0,-6.2474,3.7177,False
212,GBC,Stacking_NuSCV,1.9841,0.9995,-2.9984,6.9667,False
213,GBC,Stacking_RF,0.6944,1.0,-4.2881,5.677,False
214,GBC,Stacking_Ridge,0.9177,1.0,-4.0649,5.9002,False
215,GBC,XGB,-0.1736,1.0,-5.1561,4.8089,False
216,GNB,GP,0.2232,1.0,-4.7593,5.2057,False
217,GNB,KNN,0.1984,1.0,-4.7841,5.1809,False
218,GNB,LDA,1.9593,0.9996,-3.0232,6.9419,False
219,GNB,LR,0.2232,1.0,-4.7593,5.2057,False
